期数,日期,商贷本金,商贷利息,商贷月供,公积金本金,公积金利息,公积金月供
1,2024-05-21,1331.77,4138.75,5470.52,2371.96,2480.00,4851.96
2,2024-06-21,1336.04,2883.23,4219.27,2378.09,3093.87,5471.96
3,2024-07-21,1340.33,2878.94,4219.27,2384.23,3087.73,5471.96
4,2024-08-21,1344.63,2874.64,4219.27,2390.39,3081.57,5471.96
5,2024-09-21,1348.94,2870.33,4219.27,2396.57,3075.39,5471.96
6,2024-10-21,1353.27,2866.00,4219.27,2402.76,3069.20,5471.96
7,2024-11-21,1385.64,2732.82,4118.46,2408.96,3063.00,5471.96
8,2024-12-21,1409.67,2708.79,4118.46,2415.19,3056.77,5471.96
9,2025-01-21,1405.77,2540.25,3946.02,2512.62,2894.73,5407.35
10,2025-02-21,1504.72,2441.30,3946.02,2518.58,2798.56,5317.14
11,2025-03-21,1508.86,2437.16,3946.02,2524.57,2792.57,5317.14
12,2025-04-21,1513.01,2433.01,3946.02,2530.56,2786.58,5317.14
13,2025-05-21,1517.17,2428.85,3946.02,2536.57,2780.57,5317.14
14,2025-06-21,1521.34,2424.68,3946.02,2542.60,2774.54,5317.14
15,2025-07-21,1525.53,2420.49,3946.02,2548.63,2768.51,5317.14
16,2025-08-21,1529.72,2416.30,3946.02,2554.69,2762.45,5317.14
17,2025-09-21,1533.93,2412.09,3946.02,2560.76,2756.38,5317.14
18,2025-10-21,1538.15,2407.87,3946.02,2566.84,2750.30,5317.14
19,2025-11-21,1542.38,2403.64,3946.02,2572.93,2744.21,5317.14
20,2025-12-21,1546.62,2399.40,3946.02,2579.04,2738.10,5317.14
21,2026-01-21,1550.07,2349.18,3899.25,2677.51,2580.19,5257.70
22,2026-02-21,1580.82,2318.43,3899.25,2683.31,2486.52,5169.83
